# beta  beta  delta  delta  beta  delta  energy
1.200628402716846441e-03 1.200628402716846441e-03 3.995498732528255173e-03 3.995498732528255173e-03 1.200628402716846441e-03 3.995498732528255173e-03 2.842166921236291159e+02
1.200554185454087361e-03 1.200554185454087361e-03 3.994667413525706222e-03 3.994667413525706222e-03 1.200554185454087361e-03 3.994667413525706222e-03 2.842433581256231037e+02
1.200479974908228754e-03 1.200479974908228754e-03 3.993836562077790302e-03 3.993836562077790302e-03 1.200479974908228754e-03 3.993836562077790302e-03 2.842700241276171482e+02
1.200405771079407881e-03 1.200405771079407881e-03 3.993006171544960861e-03 3.993006171544960861e-03 1.200405771079407881e-03 3.993006171544960861e-03 2.842966901296111928e+02
1.200331573967762435e-03 1.200331573967762435e-03 3.992176235285458709e-03 3.992176235285458709e-03 1.200331573967762435e-03 3.992176235285458709e-03 2.843233561316051805e+02
1.200257383573428375e-03 1.200257383573428375e-03 3.991346746647624587e-03 3.991346746647624587e-03 1.200257383573428375e-03 3.991346746647624587e-03 2.843500221335992251e+02
1.200183199896540792e-03 1.200183199896540792e-03 3.990517698975151045e-03 3.990517698975151045e-03 1.200183199896540792e-03 3.990517698975151045e-03 2.843766881355932128e+02
1.200109022937234562e-03 1.200109022937234562e-03 3.989689085597565750e-03 3.989689085597565750e-03 1.200109022937234562e-03 3.989689085597565750e-03 2.844033541375872574e+02
1.200034852695643041e-03 1.200034852695643041e-03 3.988860899835598717e-03 3.988860899835598717e-03 1.200034852695643041e-03 3.988860899835598717e-03 2.844300201395812451e+02
1.199960689171898501e-03 1.199960689171898501e-03 3.988033134995071748e-03 3.988033134995071748e-03 1.199960689171898501e-03 3.988033134995071748e-03 2.844566861415752896e+02
1.199886532366133867e-03 1.199886532366133867e-03 3.987205784369065101e-03 3.987205784369065101e-03 1.199886532366133867e-03 3.987205784369065101e-03 2.844833521435692774e+02
1.199812382278480109e-03 1.199812382278480109e-03 3.986378841231421818e-03 3.986378841231421818e-03 1.199812382278480109e-03 3.986378841231421818e-03 2.845100181455633219e+02
1.199738238909067766e-03 1.199738238909067766e-03 3.985552298840361156e-03 3.985552298840361156e-03 1.199738238909067766e-03 3.985552298840361156e-03 2.845366841475573096e+02
1.199664102258026508e-03 1.199664102258026508e-03 3.984726150432531949e-03 3.984726150432531949e-03 1.199664102258026508e-03 3.984726150432531949e-03 2.845633501495513542e+02
1.199589972325484921e-03 1.199589972325484921e-03 3.983900389224582540e-03 3.983900389224582540e-03 1.199589972325484921e-03 3.983900389224582540e-03 2.845900161515453419e+02
1.199515849111570942e-03 1.199515849111570942e-03 3.983075008409026063e-03 3.983075008409026063e-03 1.199515849111570942e-03 3.983075008409026063e-03 2.846166821535393865e+02
1.199441732616412072e-03 1.199441732616412072e-03 3.982250001154341926e-03 3.982250001154341926e-03 1.199441732616412072e-03 3.982250001154341926e-03 2.846433481555333742e+02
1.199367622840134730e-03 1.199367622840134730e-03 3.981425360601659885e-03 3.981425360601659885e-03 1.199367622840134730e-03 3.981425360601659885e-03 2.846700141575274188e+02
1.199293519782864250e-03 1.199293519782864250e-03 3.980601079865335110e-03 3.980601079865335110e-03 1.199293519782864250e-03 3.980601079865335110e-03 2.846966801595214633e+02
1.199219423444726181e-03 1.199219423444726181e-03 3.979777152028966120e-03 3.979777152028966120e-03 1.199219423444726181e-03 3.979777152028966120e-03 2.847233461615154511e+02
1.199145333825843472e-03 1.199145333825843472e-03 3.978953570144863096e-03 3.978953570144863096e-03 1.199145333825843472e-03 3.978953570144863096e-03 2.847500121635094956e+02
1.199071250926340157e-03 1.199071250926340157e-03 3.978130327233029596e-03 3.978130327233029596e-03 1.199071250926340157e-03 3.978130327233029596e-03 2.847766781655034833e+02
1.198997174746338100e-03 1.198997174746338100e-03 3.977307416277424228e-03 3.977307416277424228e-03 1.198997174746338100e-03 3.977307416277424228e-03 2.848033441674975279e+02
1.198923105285959597e-03 1.198923105285959597e-03 3.976484830225916409e-03 3.976484830225916409e-03 1.198923105285959597e-03 3.976484830225916409e-03 2.848300101694915156e+02
1.198849042545324780e-03 1.198849042545324780e-03 3.975662561987055449e-03 3.975662561987055449e-03 1.198849042545324780e-03 3.975662561987055449e-03 2.848566761714855602e+02
1.198774986524554212e-03 1.198774986524554212e-03 3.974840604430136468e-03 3.974840604430136468e-03 1.198774986524554212e-03 3.974840604430136468e-03 2.848833421734795479e+02
1.198700937223766937e-03 1.198700937223766937e-03 3.974018950380991955e-03 3.974018950380991955e-03 1.198700937223766937e-03 3.974018950380991955e-03 2.849100081754735925e+02
1.198626894643081134e-03 1.198626894643081134e-03 3.973197592621206808e-03 3.973197592621206808e-03 1.198626894643081134e-03 3.973197592621206808e-03 2.849366741774675802e+02
1.198552858782614330e-03 1.198552858782614330e-03 3.972376523890304087e-03 3.972376523890304087e-03 1.198552858782614330e-03 3.972376523890304087e-03 2.849633401794616248e+02
1.198478829642484270e-03 1.198478829642484270e-03 3.971555736874921201e-03 3.971555736874921201e-03 1.198478829642484270e-03 3.971555736874921201e-03 2.849900061814556125e+02
1.198404807222805879e-03 1.198404807222805879e-03 3.970735224215361965e-03 3.970735224215361965e-03 1.198404807222805879e-03 3.970735224215361965e-03 2.850166721834496570e+02
1.198330791523695600e-03 1.198330791523695600e-03 3.969914978499703741e-03 3.969914978499703741e-03 1.198330791523695600e-03 3.969914978499703741e-03 2.850433381854436448e+02
1.198256782545266842e-03 1.198256782545266842e-03 3.969094992260685344e-03 3.969094992260685344e-03 1.198256782545266842e-03 3.969094992260685344e-03 2.850700041874376893e+02
1.198182780287633661e-03 1.198182780287633661e-03 3.968275257978134789e-03 3.968275257978134789e-03 1.198182780287633661e-03 3.968275257978134789e-03 2.850966701894316770e+02
1.198108784750909032e-03 1.198108784750909032e-03 3.967455768072017386e-03 3.967455768072017386e-03 1.198108784750909032e-03 3.967455768072017386e-03 2.851233361914257216e+02
1.198034795935205279e-03 1.198034795935205279e-03 3.966636514903693414e-03 3.966636514903693414e-03 1.198034795935205279e-03 3.966636514903693414e-03 2.851500021934197662e+02
1.197960813840632556e-03 1.197960813840632556e-03 3.965817490771816368e-03 3.965817490771816368e-03 1.197960813840632556e-03 3.965817490771816368e-03 2.851766681954137539e+02
1.197886838467302753e-03 1.197886838467302753e-03 3.964998687913105779e-03 3.964998687913105779e-03 1.197886838467302753e-03 3.964998687913105779e-03 2.852033341974077985e+02
1.197812869815325374e-03 1.197812869815325374e-03 3.964180098495999859e-03 3.964180098495999859e-03 1.197812869815325374e-03 3.964180098495999859e-03 2.852300001994017862e+02
1.197738907884808406e-03 1.197738907884808406e-03 3.963361714621153366e-03 3.963361714621153366e-03 1.197738907884808406e-03 3.963361714621153366e-03 2.852566662013958307e+02
1.197664952675861353e-03 1.197664952675861353e-03 3.962543528318897973e-03 3.962543528318897973e-03 1.197664952675861353e-03 3.962543528318897973e-03 2.852833322033898185e+02
1.197591004188590684e-03 1.197591004188590684e-03 3.961725531547630706e-03 3.961725531547630706e-03 1.197591004188590684e-03 3.961725531547630706e-03 2.853099982053838630e+02
1.197517062423103084e-03 1.197517062423103084e-03 3.960907716187568942e-03 3.960907716187568942e-03 1.197517062423103084e-03 3.960907716187568942e-03 2.853366642073778507e+02
1.197443127379504372e-03 1.197443127379504372e-03 3.960090074045070734e-03 3.960090074045070734e-03 1.197443127379504372e-03 3.960090074045070734e-03 2.853633302093718953e+02
1.197369199057899932e-03 1.197369199057899932e-03 3.959272596843094703e-03 3.959272596843094703e-03 1.197369199057899932e-03 3.959272596843094703e-03 2.853899962113658830e+02
1.197295277458393413e-03 1.197295277458393413e-03 3.958455276223805594e-03 3.958455276223805594e-03 1.197295277458393413e-03 3.958455276223805594e-03 2.854166622133599276e+02
1.197221362581089117e-03 1.197221362581089117e-03 3.957638103744227052e-03 3.957638103744227052e-03 1.197221362581089117e-03 3.957638103744227052e-03 2.854433282153539153e+02
1.197147454426088740e-03 1.197147454426088740e-03 3.956821070873836436e-03 3.956821070873836436e-03 1.197147454426088740e-03 3.956821070873836436e-03 2.854699942173479599e+02
1.197073552993495067e-03 1.197073552993495067e-03 3.956004168991665224e-03 3.956004168991665224e-03 1.197073552993495067e-03 3.956004168991665224e-03 2.854966602193419476e+02
1.196999658283408275e-03 1.196999658283408275e-03 3.955187389381923171e-03 3.955187389381923171e-03 1.196999658283408275e-03 3.955187389381923171e-03 2.855233262213359922e+02
1.196925770295928981e-03 1.196925770295928981e-03 3.954370723236517136e-03 3.954370723236517136e-03 1.196925770295928981e-03 3.954370723236517136e-03 2.855499922233300367e+02
1.196851889031157364e-03 1.196851889031157364e-03 3.953554161645608106e-03 3.953554161645608106e-03 1.196851889031157364e-03 3.953554161645608106e-03 2.855766582253240244e+02
1.196778014489191869e-03 1.196778014489191869e-03 3.952737695599692867e-03 3.952737695599692867e-03 1.196778014489191869e-03 3.952737695599692867e-03 2.856033242273180690e+02
1.196704146670130725e-03 1.196704146670130725e-03 3.951921315984281875e-03 3.951921315984281875e-03 1.196704146670130725e-03 3.951921315984281875e-03 2.856299902293120567e+02
1.196630285574070210e-03 1.196630285574070210e-03 3.951105013577069919e-03 3.951105013577069919e-03 1.196630285574070210e-03 3.951105013577069919e-03 2.856566562313061013e+02
1.196556431201108118e-03 1.196556431201108118e-03 3.950288779046477218e-03 3.950288779046477218e-03 1.196556431201108118e-03 3.950288779046477218e-03 2.856833222333000890e+02
1.196482583551338776e-03 1.196482583551338776e-03 3.949472602945024516e-03 3.949472602945024516e-03 1.196482583551338776e-03 3.949472602945024516e-03 2.857099882352941336e+02
1.196408742624858025e-03 1.196408742624858025e-03 3.948656475711905672e-03 3.948656475711905672e-03 1.196408742624858025e-03 3.948656475711905672e-03 2.857366542372881213e+02
1.196334908421759326e-03 1.196334908421759326e-03 3.947840387660956490e-03 3.947840387660956490e-03 1.196334908421759326e-03 3.947840387660956490e-03 2.857633202392821659e+02
1.196261080942137437e-03 1.196261080942137437e-03 3.947024328986982120e-03 3.947024328986982120e-03 1.196261080942137437e-03 3.947024328986982120e-03 2.857899862412761536e+02
1.196187260186082780e-03 1.196187260186082780e-03 3.946208289755289735e-03 3.946208289755289735e-03 1.196187260186082780e-03 3.946208289755289735e-03 2.858166522432701981e+02
1.196113446153689031e-03 1.196113446153689031e-03 3.945392259900003251e-03 3.945392259900003251e-03 1.196113446153689031e-03 3.945392259900003251e-03 2.858433182452641859e+02
1.196039638845045961e-03 1.196039638845045961e-03 3.944576229221862830e-03 3.944576229221862830e-03 1.196039638845045961e-03 3.944576229221862830e-03 2.858699842472582304e+02
1.195965838260244643e-03 1.195965838260244643e-03 3.943760187383596634e-03 3.943760187383596634e-03 1.195965838260244643e-03 3.943760187383596634e-03 2.858966502492522181e+02
1.195892044399374417e-03 1.195892044399374417e-03 3.942944123904516297e-03 3.942944123904516297e-03 1.195892044399374417e-03 3.942944123904516297e-03 2.859233162512462627e+02
1.195818257262523752e-03 1.195818257262523752e-03 3.942128028158684190e-03 3.942128028158684190e-03 1.195818257262523752e-03 3.942128028158684190e-03 2.859499822532402504e+02
1.195744476849780902e-03 1.195744476849780902e-03 3.941311889368939031e-03 3.941311889368939031e-03 1.195744476849780902e-03 3.941311889368939031e-03 2.859766482552342950e+02
1.195670703161233039e-03 1.195670703161233039e-03 3.940495696604409161e-03 3.940495696604409161e-03 1.195670703161233039e-03 3.940495696604409161e-03 2.860033142572283396e+02
1.195596936196966463e-03 1.195596936196966463e-03 3.939679438774743719e-03 3.939679438774743719e-03 1.195596936196966463e-03 3.939679438774743719e-03 2.860299802592223273e+02
1.195523175957066827e-03 1.195523175957066827e-03 3.938863104625388127e-03 3.938863104625388127e-03 1.195523175957066827e-03 3.938863104625388127e-03 2.860566462612163718e+02
1.195449422441618916e-03 1.195449422441618916e-03 3.938046682736320338e-03 3.938046682736320338e-03 1.195449422441618916e-03 3.938046682736320338e-03 2.860833122632103596e+02
1.195375675650707297e-03 1.195375675650707297e-03 3.937230161511668519e-03 3.937230161511668519e-03 1.195375675650707297e-03 3.937230161511668519e-03 2.861099782652044041e+02
1.195301935584415021e-03 1.195301935584415021e-03 3.936413529178666749e-03 3.936413529178666749e-03 1.195301935584415021e-03 3.936413529178666749e-03 2.861366442671983918e+02
1.195228202242824703e-03 1.195228202242824703e-03 3.935596773781468126e-03 3.935596773781468126e-03 1.195228202242824703e-03 3.935596773781468126e-03 2.861633102691924364e+02
1.195154475626018309e-03 1.195154475626018309e-03 3.934779883177053419e-03 3.934779883177053419e-03 1.195154475626018309e-03 3.934779883177053419e-03 2.861899762711864241e+02
1.195080755734076721e-03 1.195080755734076721e-03 3.933962845025077738e-03 3.933962845025077738e-03 1.195080755734076721e-03 3.933962845025077738e-03 2.862166422731804687e+02
1.195007042567080820e-03 1.195007042567080820e-03 3.933145646789417034e-03 3.933145646789417034e-03 1.195007042567080820e-03 3.933145646789417034e-03 2.862433082751744564e+02
1.194933336125109536e-03 1.194933336125109536e-03 3.932328275725443904e-03 3.932328275725443904e-03 1.194933336125109536e-03 3.932328275725443904e-03 2.862699742771685010e+02
1.194859636408241799e-03 1.194859636408241799e-03 3.931510718878396086e-03 3.931510718878396086e-03 1.194859636408241799e-03 3.931510718878396086e-03 2.862966402791624887e+02
1.194785943416555671e-03 1.194785943416555671e-03 3.930692963073512819e-03 3.930692963073512819e-03 1.194785943416555671e-03 3.930692963073512819e-03 2.863233062811565333e+02
1.194712257150128782e-03 1.194712257150128782e-03 3.929874994912354626e-03 3.929874994912354626e-03 1.194712257150128782e-03 3.929874994912354626e-03 2.863499722831505210e+02
1.194638577609128532e-03 1.194638577609128532e-03 3.929056800762724573e-03 3.929056800762724573e-03 1.194638577609128532e-03 3.929056800762724573e-03 2.863766382851445655e+02
1.194564904793607180e-03 1.194564904793607180e-03 3.928238366753566448e-03 3.928238366753566448e-03 1.194564904793607180e-03 3.928238366753566448e-03 2.864033042871386101e+02
1.194491238703710660e-03 1.194491238703710660e-03 3.927419678764613661e-03 3.927419678764613661e-03 1.194491238703710660e-03 3.927419678764613661e-03 2.864299702891325978e+02
1.194417579339704383e-03 1.194417579339704383e-03 3.926600722419122495e-03 3.926600722419122495e-03 1.194417579339704383e-03 3.926600722419122495e-03 2.864566362911266424e+02
1.194343926702002082e-03 1.194343926702002082e-03 3.925781483073705752e-03 3.925781483073705752e-03 1.194343926702002082e-03 3.925781483073705752e-03 2.864833022931206301e+02
1.194270280791350555e-03 1.194270280791350555e-03 3.924961945811303657e-03 3.924961945811303657e-03 1.194270280791350555e-03 3.924961945811303657e-03 2.865099682951146747e+02
1.194196641609123919e-03 1.194196641609123919e-03 3.924142095423729069e-03 3.924142095423729069e-03 1.194196641609123919e-03 3.924142095423729069e-03 2.865366342971086624e+02
1.194123009157842079e-03 1.194123009157842079e-03 3.923321916407512822e-03 3.923321916407512822e-03 1.194123009157842079e-03 3.923321916407512822e-03 2.865633002991027070e+02
1.194049383442114844e-03 1.194049383442114844e-03 3.922501392943669903e-03 3.922501392943669903e-03 1.194049383442114844e-03 3.922501392943669903e-03 2.865899663010966947e+02
1.193975764470247202e-03 1.193975764470247202e-03 3.921680508886258958e-03 3.921680508886258958e-03 1.193975764470247202e-03 3.921680508886258958e-03 2.866166323030907392e+02
1.193902152256748816e-03 1.193902152256748816e-03 3.920859247742930834e-03 3.920859247742930834e-03 1.193902152256748816e-03 3.920859247742930834e-03 2.866432983050847270e+02
1.193828546827228974e-03 1.193828546827228974e-03 3.920037592653883782e-03 3.920037592653883782e-03 1.193828546827228974e-03 3.920037592653883782e-03 2.866699643070787715e+02
