beta_P3HTpara beta_P3HTperp delta_P3HTpara delta_P3HTperp delta_P3HT beta_P3HT energy_P3HT
0.000476352 0.000476352 0.000646584 0.000646584 0.000646584 0.000476352 283.075
0.000475914 0.000475914 0.000642768 0.000642768 0.000642768 0.000475914 283.087
0.000475721 0.000475721 0.000638424 0.000638424 0.000638424 0.000475721 283.1
0.000476075 0.000476075 0.000633945 0.000633945 0.000633945 0.000476075 283.113
0.000477099 0.000477099 0.000630698 0.000630698 0.000630698 0.000477099 283.125
0.000476975 0.000476975 0.000627663 0.000627663 0.000627663 0.000476975 283.137
0.0004769 0.0004769 0.000624006 0.000624006 0.000624006 0.0004769 283.15
0.000477129 0.000477129 0.000620718 0.000620718 0.000620718 0.000477129 283.163
0.00047572 0.00047572 0.000617155 0.000617155 0.000617155 0.00047572 283.175
0.00047578 0.00047578 0.000612529 0.000612529 0.000612529 0.00047578 283.188
0.000475921 0.000475921 0.000608462 0.000608462 0.000608462 0.000475921 283.2
0.000476518 0.000476518 0.000604632 0.000604632 0.000604632 0.000476518 283.212
0.000476863 0.000476863 0.000600863 0.000600863 0.000600863 0.000476863 283.225
0.000477182 0.000477182 0.000597375 0.000597375 0.000597375 0.000477182 283.238
0.00047671 0.00047671 0.000593965 0.000593965 0.000593965 0.00047671 283.25
0.000476606 0.000476606 0.000590292 0.000590292 0.000590292 0.000476606 283.262
0.00047607 0.00047607 0.000586076 0.000586076 0.000586076 0.00047607 283.275
0.000475999 0.000475999 0.000581455 0.000581455 0.000581455 0.000475999 283.288
0.000476691 0.000476691 0.000577617 0.000577617 0.000577617 0.000476691 283.3
0.000476221 0.000476221 0.000573435 0.000573435 0.000573435 0.000476221 283.313
0.000476769 0.000476769 0.000569497 0.000569497 0.000569497 0.000476769 283.325
0.000476276 0.000476276 0.000565415 0.000565415 0.000565415 0.000476276 283.337
0.00047726 0.00047726 0.000560777 0.000560777 0.000560777 0.00047726 283.35
0.000477696 0.000477696 0.000557107 0.000557107 0.000557107 0.000477696 283.363
0.000477581 0.000477581 0.000553451 0.000553451 0.000553451 0.000477581 283.375
0.000477821 0.000477821 0.000549813 0.000549813 0.000549813 0.000477821 283.387
