# beta  beta  delta  delta  beta  delta  energy
0.000000000000000000e+00 0.000000000000000000e+00 2.726413108754746108e-03 2.726413108754746108e-03 0.000000000000000000e+00 2.726413108754746108e-03 2.858699842472582304e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.725904089947091789e-03 2.725904089947091789e-03 0.000000000000000000e+00 2.725904089947091789e-03 2.858966502492522181e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.725395209565907410e-03 2.725395209565907410e-03 0.000000000000000000e+00 2.725395209565907410e-03 2.859233162512462627e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.724886467505116799e-03 2.724886467505116799e-03 0.000000000000000000e+00 2.724886467505116799e-03 2.859499822532402504e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.724377863657675373e-03 2.724377863657675373e-03 0.000000000000000000e+00 2.724377863657675373e-03 2.859766482552342950e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.723869397915549759e-03 2.723869397915549759e-03 0.000000000000000000e+00 2.723869397915549759e-03 2.860033142572283396e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.723361070169689601e-03 2.723361070169689601e-03 0.000000000000000000e+00 2.723361070169689601e-03 2.860299802592223273e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.722852880310004144e-03 2.722852880310004144e-03 0.000000000000000000e+00 2.722852880310004144e-03 2.860566462612163718e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.722344828225334475e-03 2.722344828225334475e-03 0.000000000000000000e+00 2.722344828225334475e-03 2.860833122632103596e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.721836913803423168e-03 2.721836913803423168e-03 0.000000000000000000e+00 2.721836913803423168e-03 2.861099782652044041e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.721329136930895638e-03 2.721329136930895638e-03 0.000000000000000000e+00 2.721329136930895638e-03 2.861366442671983918e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.720821497493214162e-03 2.720821497493214162e-03 0.000000000000000000e+00 2.720821497493214162e-03 2.861633102691924364e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.720313995374666616e-03 2.720313995374666616e-03 0.000000000000000000e+00 2.720313995374666616e-03 2.861899762711864241e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.719806630458316155e-03 2.719806630458316155e-03 0.000000000000000000e+00 2.719806630458316155e-03 2.862166422731804687e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.719299402625980407e-03 2.719299402625980407e-03 0.000000000000000000e+00 2.719299402625980407e-03 2.862433082751744564e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.718792311758190267e-03 2.718792311758190267e-03 0.000000000000000000e+00 2.718792311758190267e-03 2.862699742771685010e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.718285357734159541e-03 2.718285357734159541e-03 0.000000000000000000e+00 2.718285357734159541e-03 2.862966402791624887e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.717778540431738978e-03 2.717778540431738978e-03 0.000000000000000000e+00 2.717778540431738978e-03 2.863233062811565333e+02
0.000000000000000000e+00 0.000000000000000000e+00 2.717271859727384171e-03 2.717271859727384171e-03 0.000000000000000000e+00 2.717271859727384171e-03 2.863499722831505210e+02
