# betaPara  betaPerp  deltaPara  deltaPerp  beta  delta  energy
2.930031777646193900e-04 2.930031777646203658e-04 1.921257991443742858e-03 1.901077616289238107e-03 2.930031777646224258e-04 1.802362873741905928e-03 2.805258457941542929e+02
2.941604103665520077e-04 2.941604103665533630e-04 1.919178782765710873e-03 1.899021952345278895e-03 2.941604103665545014e-04 1.799880765391185990e-03 2.805501392347867977e+02
2.953172377982577206e-04 2.953172377982560401e-04 1.917086429459918719e-03 1.896953944657411373e-03 2.953172377982567990e-04 1.797382225162960905e-03 2.805744326754193025e+02
2.964736602181513680e-04 2.964736602181492538e-04 1.914982126037361940e-03 1.894874806369368581e-03 2.964736602181527233e-04 1.794868403952629620e-03 2.805987261160517505e+02
2.976296777845815989e-04 2.976296777845798642e-04 1.912866877930582445e-03 1.892785562068710061e-03 2.976296777845824121e-04 1.792340262760604847e-03 2.806230195566842553e+02
2.987852906558158554e-04 2.987852906558148254e-04 1.910741532701687537e-03 1.890687079016437327e-03 2.987852906558195959e-04 1.789798603880191075e-03 2.806473129973167602e+02
2.999404989900518112e-04 2.999404989900511607e-04 1.908606805173304957e-03 1.888580092293446052e-03 2.999404989900518654e-04 1.787244096007390088e-03 2.806716064379492650e+02
3.010953029454104869e-04 3.010953029454094569e-04 1.906463297802584193e-03 1.886465225200031947e-03 3.010953029454128179e-04 1.784677294596430288e-03 2.806958998785817130e+02
3.022497026799480678e-04 3.022497026799477425e-04 1.904311517343496062e-03 1.884343005928981176e-03 3.022497026799501278e-04 1.782098658496571696e-03 2.807201933192142178e+02
3.034036983516401830e-04 3.034036983516401288e-04 1.902151888542932085e-03 1.882213881293705532e-03 3.034036983516417009e-04 1.779508563629046171e-03 2.807444867598467226e+02
3.045572901183882480e-04 3.045572901183845075e-04 1.899984765485849582e-03 1.880078228090859005e-03 3.045572901183892238e-04 1.776907314307956494e-03 2.807687802004791706e+02
3.057104781380301983e-04 3.057104781380303609e-04 1.897810441045706892e-03 1.877936362571481273e-03 3.057104781380305778e-04 1.774295152666600667e-03 2.807930736411116754e+02
3.068632625683217867e-04 3.068632625683223288e-04 1.895629154778877019e-03 1.875788548367252843e-03 3.068632625683216241e-04 1.771672266528812869e-03 2.808173670817441803e+02
3.080156435669460162e-04 3.080156435669464498e-04 1.893441099581571335e-03 1.873635003166158972e-03 3.080156435669485098e-04 1.769038796038758252e-03 2.808416605223766283e+02
3.091676212915219759e-04 3.091676212915191028e-04 1.891246427302510505e-03 1.871475904355485512e-03 3.091676212915206207e-04 1.766394839249759222e-03 2.808659539630091331e+02
3.103191958995866269e-04 3.103191958995844043e-04 1.889045253505196222e-03 1.869311393809806833e-03 3.103191958995881448e-04 1.763740456857770334e-03 2.808902474036416379e+02
3.114703675486051558e-04 3.114703675486062400e-04 1.886837661524737916e-03 1.867141581979906871e-03 3.114703675486059148e-04 1.761075676232346779e-03 2.809145408442740859e+02
